time_s,x_num_m,y_num_m,z_num_m,r_num_m,x_ana_m,y_ana_m,z_ana_m,r_ana_m,r_error_norm_m,r_error_rel,vx_num_ms,vy_num_ms,vz_num_ms,v_num_ms,vx_ana_ms,vy_ana_ms,vz_ana_ms,v_ana_ms,v_error_norm_ms,v_error_rel,energy_error_Jkg,energy_error_rel,|h|_error_m2s,|h|_error_rel
430.0,6052880.489888811,1962875.40570336,2476532.416015848,6828137.000000003,6052880.489888808,1962875.4057033588,2476532.4160158494,6828137.0,3.3336274938835654e-09,4.88219186856322e-16,-3536.0088576127064,4207.00070765008,5307.913888178582,7640.429532402145,-3536.0088576127073,4207.00070765008,5307.913888178588,7640.42953240215,6.431098710768743e-12,8.417195242093682e-16,-1.862645149230957e-08,-6.381526429560877e-16,-1.52587890625e-05,-2.924826228066782e-16
440.0,6017142.209480888,2004821.6525784736,2529455.4083843823,6828137.000000002,6017142.209480885,2004821.6525784726,2529455.408384384,6828137.0,3.4846899907793303e-09,5.103427173150349e-16,-3611.572645341181,4182.161133959919,5276.574145847024,7640.429532402145,-3611.572645341182,4182.1611339599185,5276.574145847029,7640.42953240215,5.606501875235132e-12,7.337940689667546e-16,-1.862645149230957e-08,-6.381526429560877e-16,-1.52587890625e-05,-2.924826228066782e-16
450.0,5980650.544295102,2046516.88293066,2582061.6967205675,6828137.000000002,5980650.5442951,2046516.8829306595,2582061.6967205694,6828137.000000001,3.390065342784169e-09,4.964846696520835e-16,-3686.684241022265,4156.797926885803,5244.573742606624,7640.429532402146,-3686.6842410222657,4156.797926885803,5244.57374260663,7640.4295324021505,5.532240293449121e-12,7.240745130869344e-16,-1.862645149230957e-08,-6.381526429560877e-16,-1.52587890625e-05,-2.924826228066782e-16
460.0,5943410.063321867,2087955.8762497895,2634344.6943798685,6828137.000000002,5943410.063321864,2087955.8762497888,2634344.6943798703,6828137.000000001,3.429809553235824e-09,5.02305321822896e-16,-3761.334240202672,4130.914262063848,5211.916685113007,7640.429532402145,-3761.334240202672,4130.914262063848,5211.916685113013,7640.42953240215,6.366462912410498e-12,8.33259816795782e-16,-1.862645149230957e-08,-6.381526429560877e-16,-1.52587890625e-05,-2.924826228066782e-16
470.0,5905425.429308131,2129133.4441082515,2686297.8551958147,6828137.000000002,5905425.429308129,2129133.4441082506,2686297.855195817,6828137.0,3.754281321679498e-09,5.498251311711376e-16,-3835.513296223955,4104.513380294819,5178.607062239123,7640.429532402145,-3835.513296223956,4104.5133802948185,5178.607062239128,7640.42953240215,5.606501875235132e-12,7.337940689667546e-16,-1.862645149230957e-08,-6.381526429560877e-16,-7.62939453125e-06,-1.462413114033391e-16
480.0,5866701.398173577,2170044.430810578,2737914.674299624,6828137.000000002,5866701.398173574,2170044.4308105772,2737914.674299626,6828137.0,3.754281321679498e-09,5.498251311711376e-16,-3909.2121213927726,4077.598587138359,5144.649044563288,7640.429532402147,-3909.2121213927726,4077.5985871383587,5144.649044563294,7640.4295324021505,6.382683226374047e-12,8.353827751837574e-16,-1.1175870895385742e-08,-3.8289158577365256e-16,-7.62939453125e-06,-1.462413114033391e-16
490.0,5827242.818415144,2210683.7140389737,2789188.688934651,6828137.000000002,5827242.818415142,2210683.7140389723,2789188.6889346535,6828137.0,3.896001849947849e-09,5.705805038691885e-16,-3982.421488143763,4050.173252499108,5110.046883847005,7640.429532402146,-3982.4214881437633,4050.1732524991075,5110.046883847011,7640.42953240215,5.4947331471314884e-12,7.191654767351733e-16,-1.1175870895385742e-08,-3.8289158577365256e-16,-7.62939453125e-06,-1.462413114033391e-16
500.0,5787054.630499971,2251046.205494656,2840113.479265569,6828137.000000002,5787054.630499968,2251046.2054946544,2840113.4792655716,6828137.0,4.3682900814557725e-09,6.397484528291937e-16,-4055.1322301948953,4022.240810204776,5074.804912502616,7640.429532402147,-4055.132230194896,4022.2408102047752,5074.80491250262,7640.42953240215,3.777415196472282e-12,4.943982770147562e-16,-1.1175870895385742e-08,-3.8289158577365256e-16,-1.52587890625e-05,-2.924826228066782e-16
510.0,5746141.866246813,2291126.8515349487,2890682.6691821725,6828137.000000002,5746141.86624681,2291126.8515349473,2890682.669182175,6828136.999999999,3.896001849947849e-09,5.705805038691886e-16,-4127.335243695149,3993.8047575762,5038.927543050851,7640.429532402146,-4127.33524369515,3993.8047575761993,5038.927543050857,7640.42953240215,5.550898829703193e-12,7.265165925766992e-16,-1.1175870895385742e-08,-3.8289158577365256e-16,-7.62939453125e-06,-1.462413114033391e-16
520.0,5704509.648196028,2330920.633806029,2940889.9270977066,6828137.000000001,5704509.648196025,2330920.633806028,2940889.927097709,6828137.0,3.754281321679498e-09,5.498251311711376e-16,-4199.021488364372,3964.868654989461,5002.419267568363,7640.429532402147,-4199.021488364373,3964.8686549894605,5002.419267568368,7640.42953240215,5.550898829703193e-12,7.265165925766992e-16,-1.1175870895385742e-08,-3.8289158577365256e-16,-1.52587890625e-05,-2.924826228066782e-16
530.0,5662163.188968201,2370422.569871256,2990728.9667416243,6828137.000000002,5662163.188968198,2370422.5698712547,2990728.9667416266,6828137.0,3.896001849947849e-09,5.705805038691885e-16,-4270.181988625183,3935.436125430098,4965.284657125278,7640.429532402145,-4270.181988625183,3935.436125430098,4965.284657125283,7640.42953240215,5.4569682106375694e-12,7.142227001106703e-16,-1.862645149230957e-08,-6.381526429560877e-16,-7.62939453125e-06,-1.462413114033391e-16
540.0,5619107.790611493,2409627.713835005,3040193.547946666,6828137.000000002,5619107.79061149,2409627.713835004,3040193.5479466678,6828136.999999999,4.393039798390401e-09,6.433731189620832e-16,-4340.807834726771,3905.510854039492,4927.528361212878,7640.429532402145,-4340.807834726772,3905.5108540394913,4927.528361212883,7640.42953240215,5.606501875235132e-12,7.337940689667546e-16,-1.862645149230957e-08,-6.381526429560877e-16,-7.62939453125e-06,-1.462413114033391e-16
550.0,5575348.843937787,2448531.156961925,3089277.477430169,6828137.000000002,5575348.8439377835,2448531.156961924,3089277.477430171,6828137.0,4.2678561945965885e-09,6.250396256836365e-16,-4410.890183860453,3875.096587653458,4889.15510716145,7640.429532402145,-4410.890183860454,3875.0965876534574,4889.155107161456,7640.42953240215,5.550898829703193e-12,7.265165925766992e-16,-1.862645149230957e-08,-6.381526429560877e-16,-7.62939453125e-06,-1.462413114033391e-16
560.0,5530891.827847726,2487128.028291543,3137974.6095695067,6828137.000000002,5530891.827847722,2487128.028291542,3137974.6095695086,6828137.0,4.2678561945965885e-09,6.250396256836365e-16,-4480.420261266851,3844.19713433312,4850.169699548396,7640.429532402146,-4480.420261266852,3844.1971343331197,4850.169699548402,7640.42953240215,5.550898829703193e-12,7.265165925766992e-16,-1.1175870895385742e-08,-3.8289158577365256e-16,0.0,0.0
570.0,5485742.308644718,2525413.495248142,3186278.8471715595,6828137.000000003,5485742.308644713,2525413.4952481412,3186278.847171562,6828137.0,5.288895541616039e-09,7.745737294984033e-16,-4549.389361334546,3812.8163628881175,4810.577019596667,7640.429532402147,-4549.389361334547,3812.816362888117,4810.5770195966725,7640.42953240215,5.550898829703193e-12,7.265165925766992e-16,3.725290298461914e-09,1.276305285912175e-16,-7.62939453125e-06,-1.462413114033391e-16
