time_s,energy_Jkg,dE_abs,dE_rel
80740.0,-29188081.719801325,1.3783574104309082e-07,4.722329557875048e-15
80750.0,-29188081.719801318,1.4528632164001465e-07,4.977590615057483e-15
80760.0,-29188081.719801333,1.30385160446167e-07,4.467068500692613e-15
80770.0,-29188081.719801337,1.2665987014770508e-07,4.339437972101396e-15
80780.0,-29188081.71980135,1.1175870895385742e-07,3.828915857736525e-15
80790.0,-29188081.71980134,1.2293457984924316e-07,4.211807443510178e-15
80800.0,-29188081.719801333,1.30385160446167e-07,4.467068500692613e-15
80810.0,-29188081.71980134,1.2293457984924316e-07,4.211807443510178e-15
80820.0,-29188081.719801344,1.1920928955078125e-07,4.084176914918961e-15
80830.0,-29188081.71980133,1.341104507446289e-07,4.594699029283831e-15
80840.0,-29188081.719801337,1.2665987014770508e-07,4.339437972101396e-15
80850.0,-29188081.719801355,1.0803341865539551e-07,3.701285329145308e-15
80860.0,-29188081.719801355,1.0803341865539551e-07,3.701285329145308e-15
80870.0,-29188081.719801348,1.1548399925231934e-07,3.9565463863277435e-15
80880.0,-29188081.719801363,1.0058283805847168e-07,3.446024271962873e-15
80890.0,-29188081.719801374,8.940696716308594e-08,3.0631326861892205e-15
80900.0,-29188081.71980138,8.195638656616211e-08,2.8078716290067856e-15
80910.0,-29188081.719801378,8.568167686462402e-08,2.935502157598003e-15
80920.0,-29188081.719801378,8.568167686462402e-08,2.935502157598003e-15
80930.0,-29188081.719801378,8.568167686462402e-08,2.935502157598003e-15
80940.0,-29188081.719801385,7.82310962677002e-08,2.6802411004155677e-15
80950.0,-29188081.719801366,9.685754776000977e-08,3.3183937433716554e-15
80960.0,-29188081.719801374,8.940696716308594e-08,3.0631326861892205e-15
80970.0,-29188081.71980138,8.195638656616211e-08,2.8078716290067856e-15
80980.0,-29188081.719801344,1.1920928955078125e-07,4.084176914918961e-15
80990.0,-29188081.719801337,1.2665987014770508e-07,4.339437972101396e-15
81000.0,-29188081.719801348,1.1548399925231934e-07,3.9565463863277435e-15
81010.0,-29188081.71980134,1.2293457984924316e-07,4.211807443510178e-15
81020.0,-29188081.719801348,1.1548399925231934e-07,3.9565463863277435e-15
81030.0,-29188081.719801363,1.0058283805847168e-07,3.446024271962873e-15
81040.0,-29188081.71980136,1.043081283569336e-07,3.57365480055409e-15
81050.0,-29188081.719801374,8.940696716308594e-08,3.0631326861892205e-15
81060.0,-29188081.71980138,8.195638656616211e-08,2.8078716290067856e-15
81070.0,-29188081.71980138,8.195638656616211e-08,2.8078716290067856e-15
81080.0,-29188081.719801378,8.568167686462402e-08,2.935502157598003e-15
81090.0,-29188081.7198014,6.332993507385254e-08,2.169718986050698e-15
81100.0,-29188081.7198014,6.332993507385254e-08,2.169718986050698e-15
81110.0,-29188081.719801404,5.960464477539063e-08,2.0420884574594805e-15
81120.0,-29188081.71980141,5.21540641784668e-08,1.786827400277045e-15
81130.0,-29188081.71980142,4.470348358154297e-08,1.5315663430946102e-15
81140.0,-29188081.719801415,4.842877388000488e-08,1.6591968716858277e-15
81150.0,-29188081.719801422,4.0978193283081055e-08,1.4039358145033928e-15
81160.0,-29188081.719801437,2.60770320892334e-08,8.934137001385226e-16
81170.0,-29188081.71980143,3.3527612686157227e-08,1.1486747573209577e-15
81180.0,-29188081.71980144,2.2351741790771484e-08,7.657831715473051e-16
81190.0,-29188081.719801433,2.9802322387695312e-08,1.0210442287297402e-15
81200.0,-29188081.71980144,2.2351741790771484e-08,7.657831715473051e-16
81210.0,-29188081.71980142,4.470348358154297e-08,1.5315663430946102e-15
81220.0,-29188081.719801422,4.0978193283081055e-08,1.4039358145033928e-15
81230.0,-29188081.719801415,4.842877388000488e-08,1.6591968716858277e-15
81240.0,-29188081.719801415,4.842877388000488e-08,1.6591968716858277e-15
81250.0,-29188081.7198014,6.332993507385254e-08,2.169718986050698e-15
81260.0,-29188081.719801407,5.587935447692871e-08,1.9144579288682626e-15
81270.0,-29188081.719801407,5.587935447692871e-08,1.9144579288682626e-15
81280.0,-29188081.719801404,5.960464477539063e-08,2.0420884574594805e-15
81290.0,-29188081.719801396,6.705522537231445e-08,2.2973495146419154e-15
81300.0,-29188081.719801396,6.705522537231445e-08,2.2973495146419154e-15
81310.0,-29188081.71980139,7.450580596923828e-08,2.5526105718243503e-15
81320.0,-29188081.71980138,8.195638656616211e-08,2.8078716290067856e-15
81330.0,-29188081.719801396,6.705522537231445e-08,2.2973495146419154e-15
81340.0,-29188081.71980138,8.195638656616211e-08,2.8078716290067856e-15
81350.0,-29188081.71980138,8.195638656616211e-08,2.8078716290067856e-15
81360.0,-29188081.71980138,8.195638656616211e-08,2.8078716290067856e-15
81370.0,-29188081.71980136,1.043081283569336e-07,3.57365480055409e-15
81380.0,-29188081.719801378,8.568167686462402e-08,2.935502157598003e-15
81390.0,-29188081.719801355,1.0803341865539551e-07,3.701285329145308e-15
81400.0,-29188081.719801355,1.0803341865539551e-07,3.701285329145308e-15
81410.0,-29188081.71980137,9.313225746154785e-08,3.190763214780438e-15
81420.0,-29188081.71980137,9.313225746154785e-08,3.190763214780438e-15
81430.0,-29188081.719801366,9.685754776000977e-08,3.3183937433716554e-15
81440.0,-29188081.71980136,1.043081283569336e-07,3.57365480055409e-15
81450.0,-29188081.71980135,1.1175870895385742e-07,3.828915857736525e-15
81460.0,-29188081.719801337,1.2665987014770508e-07,4.339437972101396e-15
81470.0,-29188081.719801344,1.1920928955078125e-07,4.084176914918961e-15
81480.0,-29188081.719801366,9.685754776000977e-08,3.3183937433716554e-15
81490.0,-29188081.719801366,9.685754776000977e-08,3.3183937433716554e-15
81500.0,-29188081.71980136,1.043081283569336e-07,3.57365480055409e-15
81510.0,-29188081.719801363,1.0058283805847168e-07,3.446024271962873e-15
81520.0,-29188081.719801363,1.0058283805847168e-07,3.446024271962873e-15
81530.0,-29188081.719801363,1.0058283805847168e-07,3.446024271962873e-15
81540.0,-29188081.719801378,8.568167686462402e-08,2.935502157598003e-15
81550.0,-29188081.71980137,9.313225746154785e-08,3.190763214780438e-15
81560.0,-29188081.719801355,1.0803341865539551e-07,3.701285329145308e-15
81570.0,-29188081.719801355,1.0803341865539551e-07,3.701285329145308e-15
81580.0,-29188081.719801363,1.0058283805847168e-07,3.446024271962873e-15
81590.0,-29188081.719801355,1.0803341865539551e-07,3.701285329145308e-15
81600.0,-29188081.719801355,1.0803341865539551e-07,3.701285329145308e-15
81610.0,-29188081.719801355,1.0803341865539551e-07,3.701285329145308e-15
81620.0,-29188081.71980134,1.2293457984924316e-07,4.211807443510178e-15
81630.0,-29188081.71980134,1.2293457984924316e-07,4.211807443510178e-15
81640.0,-29188081.71980134,1.2293457984924316e-07,4.211807443510178e-15
81650.0,-29188081.719801355,1.0803341865539551e-07,3.701285329145308e-15
81660.0,-29188081.719801363,1.0058283805847168e-07,3.446024271962873e-15
81670.0,-29188081.71980134,1.2293457984924316e-07,4.211807443510178e-15
81680.0,-29188081.719801333,1.30385160446167e-07,4.467068500692613e-15
81690.0,-29188081.719801348,1.1548399925231934e-07,3.9565463863277435e-15
81700.0,-29188081.719801355,1.0803341865539551e-07,3.701285329145308e-15
81710.0,-29188081.719801355,1.0803341865539551e-07,3.701285329145308e-15
81720.0,-29188081.719801348,1.1548399925231934e-07,3.9565463863277435e-15
81730.0,-29188081.719801355,1.0803341865539551e-07,3.701285329145308e-15
81740.0,-29188081.719801325,1.3783574104309082e-07,4.722329557875048e-15
81750.0,-29188081.719801348,1.1548399925231934e-07,3.9565463863277435e-15
81760.0,-29188081.719801355,1.0803341865539551e-07,3.701285329145308e-15
81770.0,-29188081.719801355,1.0803341865539551e-07,3.701285329145308e-15
81780.0,-29188081.71980137,9.313225746154785e-08,3.190763214780438e-15
81790.0,-29188081.719801385,7.82310962677002e-08,2.6802411004155677e-15
81800.0,-29188081.719801392,7.078051567077637e-08,2.424980043233133e-15
81810.0,-29188081.719801385,7.82310962677002e-08,2.6802411004155677e-15
81820.0,-29188081.7198014,6.332993507385254e-08,2.169718986050698e-15
81830.0,-29188081.719801392,7.078051567077637e-08,2.424980043233133e-15
81840.0,-29188081.7198014,6.332993507385254e-08,2.169718986050698e-15
81850.0,-29188081.719801415,4.842877388000488e-08,1.6591968716858277e-15
81860.0,-29188081.71980143,3.3527612686157227e-08,1.1486747573209577e-15
81870.0,-29188081.719801415,4.842877388000488e-08,1.6591968716858277e-15
81880.0,-29188081.71980143,3.3527612686157227e-08,1.1486747573209577e-15
81890.0,-29188081.71980142,4.470348358154297e-08,1.5315663430946102e-15
81900.0,-29188081.719801433,2.9802322387695312e-08,1.0210442287297402e-15
81910.0,-29188081.719801433,2.9802322387695312e-08,1.0210442287297402e-15
81920.0,-29188081.719801433,2.9802322387695312e-08,1.0210442287297402e-15
81930.0,-29188081.71980144,2.2351741790771484e-08,7.657831715473051e-16
