time_s,energy_Jkg,dE_rel
3240.0,-29188081.763731096,2.130153518980971e-13
3250.0,-29188081.76373139,2.0293254015456827e-13
3260.0,-29188081.763731506,1.991036243025953e-13
3270.0,-29188081.763730872,2.2067318360204306e-13
3280.0,-29188081.763730142,2.4556113663986754e-13
3290.0,-29188081.7637302,2.437743092422801e-13
3300.0,-29188081.763730817,2.2258764152802962e-13
3310.0,-29188081.763731174,2.102074802733169e-13
3320.0,-29188081.76373136,2.0395358438176106e-13
3330.0,-29188081.76373044,2.3560595542473773e-13
3340.0,-29188081.76373057,2.3088362587397104e-13
3350.0,-29188081.763730545,2.3190467010116386e-13
3360.0,-29188081.76373102,2.155679624660791e-13
3370.0,-29188081.7637306,2.3011784270357644e-13
3380.0,-29188081.763731275,2.0688908653494038e-13
3390.0,-29188081.76373204,1.8059719768472581e-13
3400.0,-29188081.763731528,1.9821021060380158e-13
3410.0,-29188081.763731595,1.9591286109261778e-13
3420.0,-29188081.76373172,1.9157342312704842e-13
3430.0,-29188081.7637318,1.890208125590664e-13
3440.0,-29188081.763731632,1.9463655580862682e-13
3450.0,-29188081.763731714,1.9182868418384658e-13
3460.0,-29188081.76373212,1.7804458711674385e-13
3470.0,-29188081.763732035,1.8085245874152406e-13
3480.0,-29188081.76373202,1.8136298085512042e-13
3490.0,-29188081.763732366,1.6949334171400418e-13
3500.0,-29188081.763731956,1.8366033036630427e-13
3510.0,-29188081.76373146,2.0050756011498538e-13
3520.0,-29188081.76373115,2.111008939721106e-13
3530.0,-29188081.76373093,2.186310951476575e-13
3540.0,-29188081.76373104,2.149298098240836e-13
3550.0,-29188081.76373126,2.073996086485367e-13
3560.0,-29188081.76373104,2.1505744035248272e-13
3570.0,-29188081.76373102,2.155679624660791e-13
3580.0,-29188081.763730485,2.3394675855554944e-13
3590.0,-29188081.76373031,2.399453933903071e-13
3600.0,-29188081.763731018,2.1569559299447819e-13
3610.0,-29188081.76373105,2.145469182388863e-13
3620.0,-29188081.763731062,2.14164026653689e-13
3630.0,-29188081.76373113,2.118666771425052e-13
3640.0,-29188081.763731413,2.0216675698417367e-13
3650.0,-29188081.763731923,1.84681374593497e-13
3660.0,-29188081.76373184,1.874892462182772e-13
3670.0,-29188081.76373143,2.0152860434217815e-13
3680.0,-29188081.7637314,2.0254964856937094e-13
3690.0,-29188081.763731945,1.839155914231024e-13
3700.0,-29188081.763731685,1.9284972841103937e-13
3710.0,-29188081.763731845,1.8736161568987809e-13
3720.0,-29188081.763732173,1.7613012919075734e-13
3730.0,-29188081.76373232,1.7102490805479338e-13
3740.0,-29188081.76373268,1.587723773284798e-13
3750.0,-29188081.763732474,1.6579205639043029e-13
3760.0,-29188081.76373273,1.5685791940249335e-13
3770.0,-29188081.763732173,1.7613012919075734e-13
3780.0,-29188081.76373157,1.9680627479141146e-13
3790.0,-29188081.763731405,2.0242201804097186e-13
3800.0,-29188081.76373144,2.0114571275698085e-13
3810.0,-29188081.763731714,1.9182868418384658e-13
3820.0,-29188081.76373126,2.073996086485367e-13
3830.0,-29188081.76373077,2.2411920786881882e-13
3840.0,-29188081.76373064,2.2858627636278724e-13
3850.0,-29188081.76373075,2.2488499103921337e-13
3860.0,-29188081.76373094,2.1837583409085929e-13
3870.0,-29188081.763731524,1.9833784113220066e-13
3880.0,-29188081.7637314,2.0267727909777005e-13
3890.0,-29188081.763731554,1.973167969050079e-13
3900.0,-29188081.76373216,1.7664065130435373e-13
3910.0,-29188081.76373153,1.980825800754025e-13
3920.0,-29188081.763731617,1.9514707792222323e-13
3930.0,-29188081.763732724,1.5724081098769065e-13
3940.0,-29188081.763732743,1.5647502781729605e-13
3950.0,-29188081.763732783,1.55198722533305e-13
3960.0,-29188081.76373248,1.656644258620312e-13
3970.0,-29188081.7637324,1.6847229748681136e-13
3980.0,-29188081.76373224,1.7383277967957354e-13
3990.0,-29188081.763732933,1.5009350139734105e-13
4000.0,-29188081.7637332,1.409041033526059e-13
4010.0,-29188081.76373358,1.2788578945589773e-13
4020.0,-29188081.763733428,1.331186411202608e-13
4030.0,-29188081.76373449,9.674394052651745e-14
4040.0,-29188081.76373457,9.380843837333816e-14
4050.0,-29188081.763734795,8.627823719779129e-14
4060.0,-29188081.76373472,8.883084776577327e-14
4070.0,-29188081.76373483,8.512956244219939e-14
4080.0,-29188081.7637343,1.0325309747487153e-13
4090.0,-29188081.763733886,1.1742008612717156e-13
4100.0,-29188081.763733923,1.1614378084318058e-13
4110.0,-29188081.76373398,1.142293229171941e-13
4120.0,-29188081.76373395,1.152503671443869e-13
4130.0,-29188081.763734117,1.0963462389482649e-13
4140.0,-29188081.76373411,1.0976225442322561e-13
4150.0,-29188081.763734438,9.865839845250395e-14
4160.0,-29188081.763733394,1.342673158758527e-13
4170.0,-29188081.763732567,1.626012931804528e-13
4180.0,-29188081.76373215,1.7689591236115197e-13
4190.0,-29188081.763732016,1.8149061138351952e-13
4200.0,-29188081.76373162,1.950194473938241e-13
4210.0,-29188081.76373064,2.287139068911863e-13
4220.0,-29188081.76373174,1.909352704850529e-13
4230.0,-29188081.76373167,1.9336025052463578e-13
4240.0,-29188081.763730638,2.2884153741958545e-13
4250.0,-29188081.763731044,2.148021792956845e-13
4260.0,-29188081.763730448,2.352230638395405e-13
4270.0,-29188081.76373038,2.375204133507243e-13
4280.0,-29188081.76373004,2.491347914350423e-13
4290.0,-29188081.763729997,2.507939883042306e-13
4300.0,-29188081.763729997,2.507939883042306e-13
4310.0,-29188081.763729926,2.530913378154144e-13
4320.0,-29188081.763729893,2.5424001257100626e-13
4330.0,-29188081.763729773,2.583241894797775e-13
4340.0,-29188081.763729274,2.754266802852568e-13
4350.0,-29188081.76372955,2.6598202118372343e-13
4360.0,-29188081.763729084,2.819358372336109e-13
4370.0,-29188081.76372941,2.707043507344901e-13
4380.0,-29188081.763728894,2.883173636535659e-13
4390.0,-29188081.76372817,3.130776861629911e-13
4400.0,-29188081.7637282,3.121842724641975e-13
4410.0,-29188081.76372806,3.170342325433632e-13
4420.0,-29188081.763727974,3.198421041681434e-13
4430.0,-29188081.763728127,3.147368830321794e-13
4440.0,-29188081.763728406,3.0516459340224695e-13
4450.0,-29188081.763728075,3.165237104297669e-13
4460.0,-29188081.763728,3.19203951526148e-13
4470.0,-29188081.76372828,3.096316618962154e-13
4480.0,-29188081.76372812,3.149921440889776e-13
4490.0,-29188081.76372723,3.454958403763624e-13
4500.0,-29188081.763726983,3.5391945525070297e-13
4510.0,-29188081.763726484,3.710219460561823e-13
4520.0,-29188081.763725728,3.969309433211995e-13
4530.0,-29188081.76372606,3.855718262936797e-13
4540.0,-29188081.76372597,3.886349589752581e-13
4550.0,-29188081.76372583,3.934849190544239e-13
4560.0,-29188081.763725605,4.011427507583698e-13
4570.0,-29188081.76372541,4.07779538235123e-13
4580.0,-29188081.76372497,4.227123100578176e-13
4590.0,-29188081.763725687,3.983348791335896e-13
4600.0,-29188081.763725717,3.97441465434796e-13
4610.0,-29188081.763725456,4.0624797189433383e-13
4620.0,-29188081.76372608,3.849336736516842e-13
4630.0,-29188081.763726093,3.844231515380878e-13
4640.0,-29188081.763726037,3.864652399924734e-13
4650.0,-29188081.76372573,3.966756822644013e-13
4660.0,-29188081.763726182,3.813600188565094e-13
4670.0,-29188081.76372514,4.170965668082572e-13
4680.0,-29188081.76372452,4.3828323452250783e-13
4690.0,-29188081.763724845,4.271793785517861e-13
4700.0,-29188081.76372486,4.2666885643818973e-13
4710.0,-29188081.763724588,4.35985885011324e-13
4720.0,-29188081.763724703,4.3202933863095194e-13
4730.0,-29188081.763724677,4.3305038285814476e-13
4740.0,-29188081.763724305,4.456858051696555e-13
4750.0,-29188081.76372395,4.5781070536757e-13
4760.0,-29188081.763724715,4.3164644704575464e-13
4770.0,-29188081.763724014,4.555133558563862e-13
4780.0,-29188081.76372386,4.608738380491484e-13
4790.0,-29188081.76372403,4.551304642711889e-13
4800.0,-29188081.763723817,4.624054043899376e-13
4810.0,-29188081.763723902,4.594699022367583e-13
4820.0,-29188081.763724867,4.264135953813915e-13
4830.0,-29188081.763724256,4.4734500203884395e-13
4840.0,-29188081.76372384,4.61639621219543e-13
4850.0,-29188081.763723034,4.892078153537485e-13
4860.0,-29188081.76372336,4.78103959383027e-13
4870.0,-29188081.763722416,5.10394483067999e-13
4880.0,-29188081.763722397,5.111602662383937e-13
4890.0,-29188081.76372189,5.28262757043873e-13
4900.0,-29188081.763721973,5.255825159474918e-13
4910.0,-29188081.763722125,5.203496642831288e-13
4920.0,-29188081.76372149,5.420468541109758e-13
4930.0,-29188081.763721883,5.286456486290702e-13
4940.0,-29188081.763722043,5.231575359079089e-13
4950.0,-29188081.76372205,5.227746443227118e-13
4960.0,-29188081.763721023,5.580006701608631e-13
4970.0,-29188081.763721325,5.477902278889351e-13
4980.0,-29188081.76372142,5.444718341505585e-13
4990.0,-29188081.76372183,5.304324760266577e-13
5000.0,-29188081.763721976,5.254548854190927e-13
5010.0,-29188081.763722077,5.221364916807161e-13
5020.0,-29188081.76372204,5.234127969647072e-13
5030.0,-29188081.763721906,5.280074959870747e-13
5040.0,-29188081.763721965,5.258377770042902e-13
5050.0,-29188081.763721965,5.258377770042902e-13
5060.0,-29188081.763722222,5.16903640016353e-13
5070.0,-29188081.763721563,5.396218740713928e-13
5080.0,-29188081.76372213,5.202220337547297e-13
5090.0,-29188081.763722,5.246891022486981e-13
5100.0,-29188081.76372169,5.354100666342225e-13
5110.0,-29188081.763721872,5.290285402142677e-13
5120.0,-29188081.763721645,5.368140024466126e-13
5130.0,-29188081.76372143,5.442165730937604e-13
5140.0,-29188081.763721347,5.470244447185405e-13
