time_s,energy_Jkg,dE_abs,dE_rel
3330.0,-29194182.84918665,-6101.085449337959,-0.00020902659855221543
3340.0,-29194201.17785245,-6119.414115138352,-0.00020965454888991674
3350.0,-29194219.500549372,-6137.736812058836,-0.00021028229473045527
3360.0,-29194237.832165986,-6156.06842867285,-0.000210910346164681
3370.0,-29194256.165090494,-6174.4013531804085,-0.00021153844240807084
3380.0,-29194274.492765553,-6192.729028239846,-0.00021216635880243315
3390.0,-29194292.819159847,-6211.0554225333035,-0.00021279423131703688
3400.0,-29194311.157392,-6229.3936546854675,-0.00021342250940329833
3410.0,-29194329.477839153,-6247.714101839811,-0.00021405017816559103
3420.0,-29194347.799741972,-6266.036004658788,-0.00021467789679976797
3430.0,-29194366.123798713,-6284.360061399639,-0.00021530568922851248
3440.0,-29194384.45084443,-6302.687107115984,-0.00021593358406122857
3450.0,-29194402.791294586,-6321.027557272464,-0.00021656193813755797
3460.0,-29194421.12329048,-6339.359553165734,-0.0002171900025661031
3470.0,-29194439.461780388,-6357.698043074459,-0.00021781828948324843
3480.0,-29194457.78227159,-6376.018534276634,-0.00021844595975464452
3490.0,-29194476.121431883,-6394.357694569975,-0.0002190742696395416
3500.0,-29194494.442230817,-6412.678493503481,-0.0002197019504539851
3510.0,-29194512.76396145,-6431.000224135816,-0.00022032966318895138
3520.0,-29194531.103625648,-6449.339888334274,-0.00022095799033791953
3530.0,-29194549.446697526,-6467.682960212231,-0.00022158643423589249
3540.0,-29194567.77390331,-6486.0101659968495,-0.0002222143345526371
3550.0,-29194586.111309204,-6504.347571890801,-0.00022284258433083026
3560.0,-29194604.433569927,-6522.669832613319,-0.0002234703152269826
3570.0,-29194622.76085722,-6540.99711990729,-0.00022409821833628318
3580.0,-29194641.081886686,-6559.318149372935,-0.00022472590704888666
3590.0,-29194659.407466877,-6577.6437295638025,-0.0002253537516718805
3600.0,-29194677.73149413,-6595.967756815255,-0.00022598154309030175
3610.0,-29194696.064549457,-6614.300812143832,-0.00022660964381569285
3620.0,-29194714.40657709,-6632.642839778215,-0.00022723805193729712
3630.0,-29194732.739823576,-6650.9760862626135,-0.0002278661592117935
3640.0,-29194751.061035804,-6669.297298491001,-0.00022849385418595073
3650.0,-29194769.383912135,-6687.620174821466,-0.0002291216061731755
3660.0,-29194787.72502605,-6705.9612887352705,-0.00022974998299020192
3670.0,-29194806.06070643,-6724.296969115734,-0.00023037817365133826
3680.0,-29194824.389144078,-6742.625406764448,-0.00023100611617243549
3690.0,-29194842.73136515,-6760.967627838254,-0.00023163453092138258
3700.0,-29194861.064837303,-6779.301099989563,-0.0002322626459273535
3710.0,-29194879.40630364,-6797.642566327006,-0.0002328910348186108
3720.0,-29194897.741947643,-6815.9782103300095,-0.00023351922423343503
3730.0,-29194916.070169047,-6834.306431733072,-0.00023414715934583536
3740.0,-29194934.409013864,-6852.645276550204,-0.00023477545842234116
3750.0,-29194952.731393676,-6870.967656362802,-0.0002354031933985862
3760.0,-29194971.065296456,-6889.301559142768,-0.00023603132315813566
3770.0,-29194989.385609686,-6907.621872372925,-0.00023665898733211087
3780.0,-29195007.719493315,-6925.955756001174,-0.0002372871164355118
3790.0,-29195026.058405668,-6944.294668354094,-0.00023791541782583144
3800.0,-29195044.381367497,-6962.617630183697,-0.00023854317274230445
3810.0,-29195062.70997777,-6980.946240454912,-0.00023917112117754512
3820.0,-29195081.046265487,-6999.282528173178,-0.00023979933264641414
3830.0,-29195099.375080008,-7017.61134269461,-0.00024042728807938143
3840.0,-29195117.716738243,-7035.953000929207,-0.0002410556835451425
3850.0,-29195136.060144547,-7054.296407233924,-0.00024168413890076325
3860.0,-29195154.394528408,-7072.630791094154,-0.00024231228514239153
3870.0,-29195172.715492982,-7090.951755668968,-0.00024293997163179885
3880.0,-29195191.044322796,-7109.280585482717,-0.00024356792758868943
3890.0,-29195209.36625322,-7127.6025159060955,-0.0002441956471686086
3900.0,-29195227.69534508,-7145.93160776794,-0.00024482361210341344
3910.0,-29195246.036060605,-7164.272323291749,-0.0002454519752713759
3920.0,-29195264.358602908,-7182.594865594059,-0.0002460797158146093
3930.0,-29195282.684573743,-7200.920836430043,-0.0002467075738213233
3940.0,-29195301.0141774,-7219.250440087169,-0.00024733555629052065
3950.0,-29195319.34880543,-7237.585068117827,-0.00024796371089756426
3960.0,-29195337.670110997,-7255.906373683363,-0.0002485914090695044
3970.0,-29195356.002938207,-7274.2392008937895,-0.00024921950197944007
3980.0,-29195374.327422526,-7292.563685212284,-0.0002498473090572337
3990.0,-29195392.653294194,-7310.88955688104,-0.00025047516366642303
4000.0,-29195410.987581626,-7329.223844312131,-0.00025110330660433504
4010.0,-29195429.30986501,-7347.54612769559,-0.0002517310382768639
