time_s,x_num_m,y_num_m,z_num_m,x_ana_m,y_ana_m,z_ana_m,error_m,rel_error
1480.0,-581517.9245520188,4225872.994995497,-5331724.78888043,-581517.9245520191,4225872.994995471,-5331724.7888803985,4.102199098583475e-08,6.007786748542794e-15
1490.0,-657606.6393834245,4221566.737568955,-5326291.644179776,-657606.6393834271,4221566.737568951,-5326291.6441797735,5.31445825962039e-09,7.783174619402613e-16
1500.0,-733613.0176478944,4216731.912923897,-5320191.613620297,-733613.0176478971,4216731.912923895,-5320191.613620297,3.261707193712215e-09,4.776862552277752e-16
1510.0,-809527.542859617,4211369.126411339,-5313425.460964897,-809527.5428596215,4211369.12641134,-5313425.4609648995,5.31445825962039e-09,7.783174619402613e-16
1520.0,-885340.7100333737,4205479.049486529,-5305994.033379256,-885340.7100333793,4205479.049486537,-5305994.033379268,1.5750093874789554e-08,2.3066458500744133e-15
1530.0,-961043.0268746282,4199062.419624884,-5297898.261325785,-961043.0268746298,4199062.419624878,-5297898.261325779,8.068850008381278e-09,1.1817059336069675e-15
1540.0,-1036625.0149680068,4192120.0402295813,-5289139.158447023,-1036625.0149680035,4192120.0402295548,-5289139.158446991,4.144647056247411e-08,6.069952984609728e-15
1550.0,-1112077.2109640595,4184652.780530976,-5279717.821438739,-1112077.210964063,4184652.7805309724,-5279717.821438735,6.320826690876031e-09,9.257029685953914e-16
1560.0,-1187390.1677641645,4176661.5754779186,-5269635.429912806,-1187390.1677641682,4176661.575477917,-5269635.429912805,4.086161212712583e-09,5.984298810513884e-16
1570.0,-1262554.4557033204,4168147.4256204874,-5258893.246249247,-1262554.4557033246,4168147.425620489,-5258893.246249251,5.778704605061029e-09,8.463076539121913e-16
1580.0,-1337560.6637308237,4159111.396984822,-5247492.615438321,-1337560.6637308302,4159111.3969848305,-5247492.615438333,1.6104072766183487e-08,2.3584870611388563e-15
1590.0,-1412399.4005885997,4149554.6209396617,-5235434.964912121,-1412399.4005886023,4149554.6209396548,-5235434.964912114,1.0528991981032317e-08,1.5420006922872691e-15
1600.0,-1487061.2959870233,4139478.294054616,-5222721.804365771,-1487061.2959870186,4139478.294054589,-5222721.804365738,4.2587009687623665e-08,6.236988169338674e-15
1610.0,-1561537.0017781425,4128883.677950357,-5209354.72556841,-1561537.0017781453,4128883.6779503534,-5209354.725568406,5.963374150388733e-09,8.733530317843261e-16
1620.0,-1635817.1931261763,4117772.099140805,-5195335.402164075,-1635817.1931261795,4117772.0991408024,-5195335.402164073,4.679838019013819e-09,6.853755305457139e-16
1630.0,-1709892.5696749757,4106144.9488668367,-5180665.589461902,-1709892.5696749801,4106144.9488668377,-5180665.589461904,4.889443516731262e-09,7.160728492605321e-16
