time_s,energy_Jkg,dE_rel,h_mag_m2s
3760.0,-29188081.74176937,6.381526424757926e-16,52169899605.72022
3770.0,-29188081.741769377,3.8289158548547556e-16,52169899605.72022
3780.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
3790.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
3800.0,-29188081.741769355,1.1486747564564267e-15,52169899605.72024
3810.0,-29188081.741769362,8.934136994661096e-16,52169899605.72023
3820.0,-29188081.741769362,8.934136994661096e-16,52169899605.72024
3830.0,-29188081.741769362,8.934136994661096e-16,52169899605.72023
3840.0,-29188081.741769362,8.934136994661096e-16,52169899605.72023
3850.0,-29188081.741769362,8.934136994661096e-16,52169899605.72023
3860.0,-29188081.741769362,8.934136994661096e-16,52169899605.72024
3870.0,-29188081.741769362,8.934136994661096e-16,52169899605.72024
3880.0,-29188081.741769362,8.934136994661096e-16,52169899605.72023
3890.0,-29188081.741769362,8.934136994661096e-16,52169899605.72023
3900.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
3910.0,-29188081.741769377,3.8289158548547556e-16,52169899605.72022
3920.0,-29188081.741769377,3.8289158548547556e-16,52169899605.72023
3930.0,-29188081.741769377,3.8289158548547556e-16,52169899605.72022
3940.0,-29188081.741769377,3.8289158548547556e-16,52169899605.72022
3950.0,-29188081.74176937,6.381526424757926e-16,52169899605.72022
3960.0,-29188081.741769385,1.2763052849515853e-16,52169899605.72022
3970.0,-29188081.741769377,3.8289158548547556e-16,52169899605.72022
3980.0,-29188081.741769385,1.2763052849515853e-16,52169899605.72022
3990.0,-29188081.741769385,1.2763052849515853e-16,52169899605.72022
4000.0,-29188081.741769385,1.2763052849515853e-16,52169899605.72022
4010.0,-29188081.741769385,1.2763052849515853e-16,52169899605.72021
4020.0,-29188081.741769385,1.2763052849515853e-16,52169899605.72021
4030.0,-29188081.741769385,1.2763052849515853e-16,52169899605.720215
4040.0,-29188081.741769377,3.8289158548547556e-16,52169899605.72022
4050.0,-29188081.741769377,3.8289158548547556e-16,52169899605.72022
4060.0,-29188081.741769377,3.8289158548547556e-16,52169899605.72022
4070.0,-29188081.741769385,1.2763052849515853e-16,52169899605.72022
4080.0,-29188081.741769385,1.2763052849515853e-16,52169899605.72022
4090.0,-29188081.741769385,1.2763052849515853e-16,52169899605.72022
4100.0,-29188081.741769385,1.2763052849515853e-16,52169899605.72022
4110.0,-29188081.741769385,1.2763052849515853e-16,52169899605.720215
4120.0,-29188081.741769385,1.2763052849515853e-16,52169899605.72022
4130.0,-29188081.741769385,1.2763052849515853e-16,52169899605.72022
4140.0,-29188081.741769385,1.2763052849515853e-16,52169899605.72022
4150.0,-29188081.741769385,1.2763052849515853e-16,52169899605.72022
4160.0,-29188081.741769377,3.8289158548547556e-16,52169899605.72022
4170.0,-29188081.741769385,1.2763052849515853e-16,52169899605.720215
4180.0,-29188081.741769385,1.2763052849515853e-16,52169899605.72021
4190.0,-29188081.741769385,1.2763052849515853e-16,52169899605.720215
4200.0,-29188081.7417694,-3.8289158548547556e-16,52169899605.72021
